Prefectures,Number of crimes,Number of police officers,Population
Hokkaido,25459,11967,5286000
Aomori,4060,2694,1263000
Iwate,3458,2463,1241000
Miyagi,13755,4336,2316000
Akita,2460,2371,981000
Yamagata,3614,2340,1090000
Fukushima,10277,3986,1864000
Ibaraki,22550,5371,2877000
Tochigi,11346,3878,1946000
Gunma,12201,3928,1952000
Saitama,60001,12878,7330000
Chiba,46698,12649,6255000
Tokyo,114492,48056,13822000
Kanagawa,46780,17319,9177000
Niigata,11137,4769,2246000
Toyama,4846,2276,1050000
Ishikawa,4722,2338,1143000
Fukui,3197,2073,774000
Yamanashi,4123,1969,817000
Nagano,8825,3947,2063000
Gifu,13232,3967,1997000
Shizuoka,19659,7029,3659000
Aichi,55080,14611,7537000
Mie,11247,3468,1791000
Shiga,7967,2623,1412000
Kyoto,16821,7158,2591000
Osaka,95558,23588,8813000
Hyogo,44233,12483,5484000
Nara,7764,2799,1339000
Wakayama,4848,2527,935000
Tottori,2110,1459,560000
Shimane,2631,1835,680000
Okayama,9509,4047,1898000
Hiroshima,14311,5737,2817000
Yamaguchi,5419,3561,1370000
Tokushima,3094,1863,736000
Kagawa,5222,2163,962000
Ehime,8626,2854,1352000
Kochi,4052,1925,706000
Fukuoka,36701,12170,5107000
Saga,3581,2009,819000
Nagasaki,3622,3557,1341000
Kumamoto,6932,3498,1757000
Oita,3331,2418,1144000
Miyazaki,4205,2325,1081000
Kagoshima,6704,3490,1614000
Okinawa,6878,3077,1448000
